address,rank,overall_pnl_30d,overall_trades_30d,outcome_fills,outcome_buys,outcome_sells,settled_pnl,gross_win,gross_loss,win_rate_settled,max_single_loss,distinct_outcomes,perp_fills,outcome_fraction,quality_score
0x6cd520c1a07c9b53b33d62d04d3c2a3175161968,64,8997.10940424,993,41,24,17,485.8,485.8,0,1.0,4.13,2,1959,0.021,728.71
0x1050cf788aa24bb06e6da6dc789dfd49424be21e,22,31301.80648681,81054,1812,1079,733,807.6,5693.79,-4886.19,0.389,-72.52,4,188,0.906,717.81
0x8490a5012b338b2ecea15a5a931f02d3d4f3bb19,35,20351.69381269,84499,2000,1813,187,646.99,18600.46,-17953.47,0.508,-325.95,2,0,1.0,652.18
0x1e532f0cb079be639b86073d78e0f4006cecfeac,27,26393.61365845,80795,1680,1197,483,292.41,13284.68,-12992.27,0.511,-1870.8,8,320,0.84,295.74
0x160398a0b95383a9155081b16f9e32e18861408b,4,113959.5115048,105,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0
0xb0026ca48937bd18c5941c05decab68b0fcced8a,6,83631.95847,297,212,210,2,39643.54,39643.54,0,1.0,6000.0,4,1788,0.106,0.0
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,7,72222.77368907,441,140,132,8,84385.87,94685.54,-10299.67,0.75,-9999.9,12,169,0.453,0.0
0x577ad1d3512b4def17c686eb2c08281d0e906d33,10,60003.188,15,15,14,1,60003.19,60003.19,0,1.0,60003.19,1,15,0.5,0.0
0x7177edd4e52e01f5f78093a8834529c31424c621,11,54563.82281961,55180,2000,2000,0,0,0,0,0.0,0.0,2,0,1.0,0.0
0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,14,39752.94800891,406,70,66,4,-4251.59,0,-4251.59,0.0,-1895.71,1,1930,0.035,0.0
0x569870903c3ef9768427135f907cb80376d1a3e0,15,38888.64,4,4,3,1,38888.64,38888.64,0,1.0,38888.64,1,546,0.007,0.0
0x259b9c4cfeadaef8a5b842710a777364988415b3,16,38268.03002009,209,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x224d6f8b2d6510ca76ef9a747733077b25b3f59f,21,32013.11646003,11,11,5,6,32013.12,32013.12,0,1.0,0.46,2,71,0.134,0.0
0x166866a2845506f6b4c817482fe53b4985882ea6,25,28501.49370002,54,54,47,7,28501.49,32554.67,-4053.17,0.714,-3054.2,6,1854,0.028,0.0
0x9e2cbb5d800181c1ef21b25010dc4ea80eeb5508,28,25829.65109012,235,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x14f8899fe7e772b012c9d4b9499dc86c7d30b144,29,25167.10550593,104,0,0,0,0,0,0,0.0,0.0,0,2000,0.0,0.0
0x45f717946a3fb49054ebebecbb1ab8ce9325f166,30,22379.25550921,169,0,0,0,0,0,0,0.0,0.0,0,1023,0.0,0.0
