address,rank,overall_pnl_30d,outcome_fills,distinct_outcomes,settled_pnl,win_rate,median_fills_per_coin,median_holding_h,median_ntl,max_single_loss,fills_per_day,quality_score
0x864d69e84bcbf88dc63c0333501b1db5d3fdbf28,99,4836.96329,73,24,4836.96,0.692,3.0,3.03,247.0,-99.81,2.4,5767.0
0xc57c395e36d14ae6012e027b297407f7ab1167c7,47,13545.20811468,485,11,7743.08,0.241,1,1.4,26.0,-62.75,16.2,5739.0
0x73f380d46c67eb0183b2b23bd1e963a9c82ef316,112,4230.84003,30,8,4230.84,0.833,2.5,26.27,109.0,-999.77,1.0,5641.0
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,92,5619.83893008,18,4,4573.49,0.667,3.0,0.98,162.0,-7.17,0.6,5336.0
0x552b6ad871f27a9729162c18d769050363f2d57e,113,4204.29772042,81,28,4303.54,0.697,2.0,28.88,100.0,-644.34,2.7,5151.0
0xf649703c3c06946c8448b98c6589e8c0ce7b368d,101,4771.35609559,410,41,4143.24,0.72,7,4.95,44.0,-577.22,13.7,5055.0
0x78cecfc06e64d026c9525f400921a19ba6c386ce,24,30040.10256358,1971,32,4474.12,0.606,62.5,14.85,15.0,-2691.66,65.7,4947.0
0x9551e7d4cd963558bb9882aecc74f549262e217f,55,11716.68501097,1819,19,5696.07,0.356,62,5.59,94.0,-518.35,60.6,4875.0
0x9e875bd28ee5001478c16cb0c8329116a3c3e816,97,4959.40541,72,34,4959.41,0.423,2.0,17.84,191.0,-336.12,2.4,4578.0
0x0e92f1ac42a3f9dc7cdd9fde7dc21c14477ce2b6,107,4522.14322913,1628,81,4522.14,0.471,10,19.74,11.0,-790.0,54.3,4393.0
0xf84a9bb19845f4d79a14e1deb475a311b4224ba9,17,37335.57673789,2000,53,3301.35,0.764,45,25.83,0.0,-561.37,66.7,4172.0
0xba78871966397b1b967a06f3bbc711ddc154fc9e,36,20206.9611301,2000,151,4922.77,0.309,8,10.78,2.0,-272.45,66.7,3984.0
0xea722a08744f35e635dc54345d16c10f12f2da6e,120,3929.48789007,99,22,3929.49,0.477,3.0,13.57,90.0,-649.86,3.3,3840.0
0x0f7795a283a92dd41e9fa1675ef8b527305270ab,96,5080.96634372,29,2,2424.61,1.0,14.5,3.1,28.0,1.67,1.0,3637.0
0xbc2402383219f8d24efa9c7bb31466651dfa62f4,80,6767.21901583,26,7,3583.84,0.5,4,5.47,47.0,-200.89,0.9,3584.0
0x0aeb716867494fcb430ae9c7f04c3e232d98140b,63,9418.48368611,71,5,2200.4,1.0,9,13.54,146.0,208.32,2.4,3301.0
0xcaef5b46df8077a07ddb2e1be56e768d8c81f6e0,95,5203.18336396,1982,60,2661.68,0.721,23.0,14.54,14.0,-331.28,66.1,3249.0
0x28839a9fc4a6465000c5c5775983742545ce5ca5,111,4237.69141654,192,13,3683.08,0.379,7,18.25,17.0,-304.11,6.4,3239.0
0x0ca5ec2afd63a192de5aa103f134bb59f0e47f7f,98,4934.56445762,58,6,2376.31,0.818,6.5,10.91,94.0,-1117.18,1.9,3132.0
0x6994e2026fd823933a795ca74779edb0739b7b66,94,5391.73047876,15,6,1719.38,1.0,2.0,6.3,2372.0,39.45,0.5,2579.0
0x549de4f045f71d962fff89e8c023b52b9db89c2c,68,8640.76557857,429,20,2322.81,0.506,16.0,10.54,39.0,-629.02,14.3,2336.0
0xf0bb8ff960fa3b089e27e904d80038b36c8ed4a7,62,10043.55386613,1951,16,1504.57,0.565,100.5,7.05,46.0,-346.73,65.0,1602.0
0x61b35e240c404399b8197468aeaecac51d4f86fe,32,21125.97537052,127,6,1206.78,0.667,11.0,19.23,14.0,-3109.76,4.2,1408.0
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,26,27286.77393403,186,2,991.29,0.772,93.0,1.1,61.0,-24.33,6.2,1261.0
0x9c50c8e0daf424880ee29007b3fe5b6b1c82ce81,106,4542.17745649,1984,44,1216.63,0.496,39.5,22.07,26.0,-515.05,66.1,1211.0
0x69cdee059a750b584473e3370be6a4555ac837ec,84,6425.54221123,1966,75,850.76,0.519,22,15.69,22.0,-179.83,65.5,867.0
0x6cd520c1a07c9b53b33d62d04d3c2a3175161968,64,8997.10940424,41,2,485.8,1.0,20.5,0.55,44.0,4.13,1.4,729.0
0x1050cf788aa24bb06e6da6dc789dfd49424be21e,22,31301.80648681,1812,4,807.6,0.389,465.0,11.16,20.0,-72.52,60.4,718.0
0x8490a5012b338b2ecea15a5a931f02d3d4f3bb19,35,20351.69381269,2000,2,646.99,0.508,1000.0,5.45,40.0,-325.95,66.7,652.0
0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,119,3959.78016941,42,8,245.38,1.0,3.0,1.3,1151.0,0.0,1.4,368.0
0x6abc111bd22bb38e649f81be60dfbeb35648aac6,79,7105.40562008,11,2,231.52,1.0,5.5,3.73,140.0,0.05,0.4,347.0
0x91837f5e4c2a29b101fecb47fee889f9144b09b8,110,4282.35729687,46,3,489.84,0.143,10,16.26,2.0,-401.46,1.5,315.0
0x1e532f0cb079be639b86073d78e0f4006cecfeac,27,26393.61365845,1680,8,292.41,0.511,121.5,5.8,38.0,-1870.8,56.0,296.0
0xb0026ca48937bd18c5941c05decab68b0fcced8a,6,83631.95847,212,4,39643.54,1.0,36.5,15.1,62.0,6000.0,7.1,0
0x577ad1d3512b4def17c686eb2c08281d0e906d33,10,60003.188,15,1,60003.19,1.0,15,10.2,1120.0,60003.19,0.5,0
0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,14,39752.94800891,70,1,-4251.59,0.0,70,15.49,47.0,-1895.71,2.3,0
0x569870903c3ef9768427135f907cb80376d1a3e0,15,38888.64,4,1,38888.64,1.0,4,123.58,49820.0,38888.64,0.1,0
0xa1d08b307a51a8caf302791445640bde80482bbf,50,13072.34543,8,1,13072.35,1.0,8,10.71,1454.0,13072.35,0.3,0
0x78167a1f0cc35e9a7eeffda5751c4e6f3616c499,58,10929.82767,18,1,10929.83,1.0,18,53.52,383.0,10929.83,0.6,0
0x9a1124c66975bbf97ac359ab7bfb743ad73fe838,76,7369.89894,12,1,7369.9,1.0,12,11.55,449.0,7369.9,0.4,0
0x3a32c838e1f5556503ea18c402ef9d48105574d5,82,6659.03411,12,2,865.02,1.0,6.0,1.92,70.0,12.7,0.4,0
0xf0d4d2df235e2ab478c5d99c7e2d416a47c47de9,88,5913.00228906,20,2,7.86,1.0,10.0,4.03,34.0,1.98,0.7,0
0x145dcfb47920325d5bb44d239cb9fd0dcada8bc7,90,5751.52096,28,1,5775.29,1.0,28,15.59,43.0,5775.29,0.9,0
0x4e5882755cce5674b7b1faccdd061857c627d09a,102,4687.25348001,11,1,4687.25,1.0,11,9.78,1385.0,624.22,0.4,0
0x250b6caa76cf8c72b8ecd546d78dc096fa8eb824,103,4581.89881021,21,1,5347.57,1.0,21,9.76,434.0,27.22,0.7,0
0x7db93738b0a4606e5a1e5c394c644cb528d577e7,108,4382.8684,28,3,4382.87,1.0,7,6.31,140.0,2082.32,0.9,0
0x5ccd0c9faeec054625767451602ae44dad0f3620,114,4176.17911689,21,1,-520.21,0.0,21,5.62,7.0,-520.21,0.7,0
0x2a21cc5d8bcaa0d10078c99606b03ee46c58817d,115,4146.80760548,5,1,-3.96,0.0,5,1.26,21.0,-3.96,0.2,0
0x30fabf0754da17f6c8eca338ddd3581eb911fa11,117,4006.91986,9,1,4006.92,1.0,9,5.7,61.0,4006.92,0.3,0
0xf957e361399ca0592d6f550f41449f0005814ef0,86,6298.78562854,2000,13,-87.47,0.481,2,2.27,14.0,-330.07,66.7,-86.0
0xcd353c98b502b6ad583af25e781f673af28acc23,77,7218.90773529,53,5,-311.19,0.2,12,19.57,15.0,-398.94,1.8,-218.0
0x15fd0c1807a791100461893f4bc3e43d5022d5ae,100,4795.40453206,1994,4,-478.04,0.5,495.0,10.42,42.0,-432.55,66.5,-478.0
0xd053e13157b4f76827fb919c3c8a02eed734b0b3,38,17986.98751591,2000,16,-736.7,0.158,77.0,12.53,14.0,-2798.68,66.7,-485.0
0x11e1fdcfb680ed1e71ad336adac324d37202263c,31,22367.23260077,108,7,-838.4,0.75,3,9.86,20.0,-870.6,3.6,-1048.0
0x7258d00a24d6829ac4bf355127bfbc9e2303aed4,33,20699.08563169,783,10,-5173.91,0.053,52.0,6.86,0.0,-4000.0,26.1,-2859.0
0xa31c8c9af718d35cac18bd2164efc7460e31a8de,8,68993.61760702,477,16,-4023.63,0.974,16.0,34.23,10.0,-21215.77,15.9,-5930.0
0x64646ff8d247b9a8fb816accc7b8c7e917cfeb64,78,7218.75893728,230,20,-11598.05,0.4,8.0,9.09,8.0,-10497.88,7.7,-10438.0
