address,rank,overall_pnl_30d,win_rate,median_holding_h,fills_per_day,max_single_loss,quality_score,fwd_pnl,fwd_sharpe,fwd_trades,fwd_closing_fills
0x73f380d46c67eb0183b2b23bd1e963a9c82ef316,112,4230.84003,0.833,26.27,1.0,-999.77,5641.0,1361.61,0.653,85,14
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,92,5619.83893008,0.667,0.98,0.6,-7.17,5336.0,5402.88,0.1392,619,239
0x552b6ad871f27a9729162c18d769050363f2d57e,113,4204.29772042,0.697,28.88,2.7,-644.34,5151.0,1388.22,0.2928,218,100
0xf649703c3c06946c8448b98c6589e8c0ce7b368d,101,4771.35609559,0.72,4.95,13.7,-577.22,5055.0,-5944.17,-0.1241,532,92
0x78cecfc06e64d026c9525f400921a19ba6c386ce,24,30040.10256358,0.606,14.85,65.7,-2691.66,4947.0,413.14,0.0088,2000,842
0x9551e7d4cd963558bb9882aecc74f549262e217f,55,11716.68501097,0.356,5.59,60.6,-518.35,4875.0,8461.6,0.057,1832,515
0x9e875bd28ee5001478c16cb0c8329116a3c3e816,97,4959.40541,0.423,17.84,2.4,-336.12,4578.0,-775.26,-0.0949,1212,50
0x0e92f1ac42a3f9dc7cdd9fde7dc21c14477ce2b6,107,4522.14322913,0.471,19.74,54.3,-790.0,4393.0,-5651.98,-0.2239,716,151
0xf84a9bb19845f4d79a14e1deb475a311b4224ba9,17,37335.57673789,0.764,25.83,66.7,-561.37,4172.0,8303.81,0.0679,2000,345
0xba78871966397b1b967a06f3bbc711ddc154fc9e,36,20206.9611301,0.309,10.78,66.7,-272.45,3984.0,3954.15,0.0325,1131,371
0xea722a08744f35e635dc54345d16c10f12f2da6e,120,3929.48789007,0.477,13.57,3.3,-649.86,3840.0,-359.17,-0.0322,79,22
0x0f7795a283a92dd41e9fa1675ef8b527305270ab,96,5080.96634372,1.0,3.1,1.0,1.67,3637.0,0.0,0.0,0,0
0xbc2402383219f8d24efa9c7bb31466651dfa62f4,80,6767.21901583,0.5,5.47,0.9,-200.89,3584.0,-2419.53,-0.6009,30,5
0x0aeb716867494fcb430ae9c7f04c3e232d98140b,63,9418.48368611,1.0,13.54,2.4,208.32,3301.0,0.0,0.0,0,0
0xcaef5b46df8077a07ddb2e1be56e768d8c81f6e0,95,5203.18336396,0.721,14.54,66.1,-331.28,3249.0,0.0,0.0,0,0
0x28839a9fc4a6465000c5c5775983742545ce5ca5,111,4237.69141654,0.379,18.25,6.4,-304.11,3239.0,8701.42,0.0629,1709,857
0x0ca5ec2afd63a192de5aa103f134bb59f0e47f7f,98,4934.56445762,0.818,10.91,1.9,-1117.18,3132.0,-545.47,-0.2577,27,15
0x6994e2026fd823933a795ca74779edb0739b7b66,94,5391.73047876,1.0,6.3,0.5,39.45,2579.0,-29.97,-0.4073,14,6
0x549de4f045f71d962fff89e8c023b52b9db89c2c,68,8640.76557857,0.506,10.54,14.3,-629.02,2336.0,-2134.81,-0.0343,2000,1124
0xf0bb8ff960fa3b089e27e904d80038b36c8ed4a7,62,10043.55386613,0.565,7.05,65.0,-346.73,1602.0,-890.27,-0.0183,802,257
0x61b35e240c404399b8197468aeaecac51d4f86fe,32,21125.97537052,0.667,19.23,4.2,-3109.76,1408.0,41719.75,0.299,216,43
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,26,27286.77393403,0.772,1.1,6.2,-24.33,1261.0,-6895.87,-0.0727,2000,936
0x9c50c8e0daf424880ee29007b3fe5b6b1c82ce81,106,4542.17745649,0.496,22.07,66.1,-515.05,1211.0,-96.55,-0.0046,952,421
